Location,CellNo,VoltMean,ResistMean,TempMean
Balboa Park Station,18,2.2319101123595524,0.26428651685393234,24.035955056179787
Balboa Park Station,19,2.200331460674158,0.2705,23.758988764044936
Balboa Park Station,20,2.2306910112359555,0.27758988764044906,23.92078651685394
Balboa Park Station,21,2.226393258426968,0.42188202247190965,24.039325842696645
Balboa Park Station,22,2.2060898876404518,0.2777977528089894,24.436516853932584
Balboa Park Station,23,2.220225988700565,0.2679717514124293,24.35254237288136
Balboa Park Station,24,2.2035367231638423,0.28051977401129924,24.692090395480236
Balboa Park Station,25,2.222331460674158,0.2609438202247194,24.492134831460667
Balboa Park Station,26,2.2132752808988783,0.37826404494382054,24.175280898876412
Balboa Park Station,27,2.2119775280898866,0.24241573033707844,24.265730337078647
Balboa Park Station,28,2.2152078651685394,0.2570280898876405,24.27303370786517
Balboa Park Station,29,2.213258426966292,0.2981741573033707,24.42191011235956
Balboa Park Station,30,2.2157134831460668,0.2661235955056181,24.528651685393264
Balboa Park Station,31,2.2194382022471912,0.41742696629213577,24.419101123595507
Balboa Park Station,32,2.1945028248587586,0.2799943502824856,24.527118644067798
Balboa Park Station,33,2.2027078651685392,0.23062359550561815,24.582584269662917
Balboa Park Station,34,2.2237471910112374,0.23120224719101146,24.437078651685383
Balboa Park Station,35,2.22588764044944,0.25803370786516877,24.379213483146057
Balboa Park Station,36,2.227814606741574,0.4297696629213479,24.308988764044933
Balboa Park Station,37,2.2155112359550544,0.2615112359550566,24.373033707865165
Balboa Park Station,38,2.2002584269662924,0.2410280898876403,23.825842696629213
Balboa Park Station,39,2.204595505617977,0.2520842696629216,24.40337078651685
Balboa Park Station,40,2.2068135593220344,0.2623163841807909,24.846327683615836
Balboa Park Station,41,2.2055449438202235,0.30930337078651726,24.564606741573034
Balboa Park Station,42,2.2076179775280904,0.2718876404494385,24.68595505617976
Balboa Park Station,43,2.198617977528089,0.2724325842696634,24.461797752808998
Balboa Park Station,44,2.206544943820226,0.27639887640449456,24.27865168539326
Balboa Park Station,45,2.2614887640449437,0.648674157303371,24.346629213483144
Balboa Park Station,46,2.250584269662922,0.20871910112359543,24.328089887640452
Balboa Park Station,47,2.25152808988764,0.2095393258426967,24.19831460674157
Balboa Park Station,48,2.2556384180790974,0.2376553672316384,24.54463276836159
Balboa Park Station,49,2.2067584269662914,0.2702471910112362,24.39101123595506
Balboa Park Station,50,2.2115955056179786,0.2761067415730337,24.005617977528086
Balboa Park Station,51,2.209567415730339,0.370955056179775,24.79101123595506
Balboa Park Station,52,2.213168539325843,0.2487865168539331,24.144943820224714
Balboa Park Station,53,2.2084438202247196,0.2558258426966295,24.595505617977544
Balboa Park Station,54,2.2011179775280887,0.22699438202247169,24.066853932584266
Balboa Park Station,55,2.210370786516855,0.23302808988764045,24.885955056179753
Balboa Park Station,56,2.2072994350282493,0.40076836158192064,24.407909604519773
Balboa Park Station,57,2.220606741573035,0.29207303370786486,24.270786516853946
Balboa Park Station,58,2.209831460674159,0.26449999999999996,24.148876404494377
Balboa Park Station,59,2.2064606741573027,0.2796123595505622,24.006741573033693
Balboa Park Station,60,2.209061797752809,0.2505224719101121,24.402808988764058
Bay Fair Station,1,2.2642921348314604,0.22499438202247202,20.092134831460676
Bay Fair Station,2,2.262449438202245,0.23139887640449439,19.63539325842697
Bay Fair Station,3,2.258197740112994,0.23297740112994403,19.528248587570612
Bay Fair Station,4,2.2688305084745743,0.2573615819209043,19.68418079096046
Bay Fair Station,5,2.2630847457627112,0.3468022598870054,19.667231638418084
Bay Fair Station,6,2.263977401129943,0.2018248587570621,19.540112994350288
Bay Fair Station,7,2.2729661016949154,0.21576271186440665,19.681355932203395
Bay Fair Station,8,2.2697344632768366,0.2055423728813556,19.677966101694913
Bay Fair Station,9,2.2679831460674147,0.25082022471910076,19.751685393258423
Bay Fair Station,10,2.272999999999999,0.35971348314606644,20.209550561797744
Bay Fair Station,11,2.26175842696629,0.2480842696629219,20.07247191011236
Bay Fair Station,12,2.2626384180790944,0.2630338983050855,19.950282485875704
Bay Fair Station,13,2.270638418079098,0.19366666666666682,19.612994350282484
Bay Fair Station,14,2.27885310734463,0.2112881355932206,19.594915254237293
Bay Fair Station,15,2.277587570621467,0.20338418079096043,19.659322033898302
Bay Fair Station,16,2.2687062146892636,0.2573389830508475,19.997175141242945
Bay Fair Station,17,2.26663483146067,0.24998314606741573,19.63876404494382
Bay Fair Station,18,2.272662921348314,0.22316853932584224,19.750561797752813
Bay Fair Station,19,2.2629265536723144,0.22457062146892656,19.71694915254236
